slice,adalat_whisper_small_hi_high_lr_multiref,artpark_medium_vaani_hindi_multiref,adalat_minus_artpark_wer,adalat_whisper_small_hi_high_lr_mean_single_ref,artpark_medium_vaani_hindi_mean_single_ref,adalat_minus_artpark_mean_single_ref_wer
bandlimit_8k,0.19281416237900062,0.14839327701820082,0.0444208853607998,0.2591019906023628,0.21947313093753862,0.039628859664824156
bandlimit_8k_g711_alaw,0.19266294876263507,0.14995648389904265,0.04270646486359242,0.25869962249097916,0.22122730444614783,0.03747231804483134
bandlimit_8k_g711_mulaw,0.1947542697804113,0.14922126511789785,0.04553300466251345,0.26091404995228384,0.22004809648798762,0.04086595346429622
bandlimit_8k_gsm_fr,0.22781168265039234,0.15605928509154315,0.07175239755884918,0.292862638430599,0.22795668412078787,0.06490595430981114
original,0.1739660426643448,0.14602154273801252,0.027944499926332272,0.24058234418290758,0.2167418670252643,0.023840477157643286
pooled_telephone,0.2020091961036414,0.15090560780215953,0.05110358830148187,0.2678945753690562,0.2221763039981155,0.0457182713709407
