model_label,condition,speakers,improved,unchanged,worsened,mean_utterance_wer_delta,median_utterance_wer_delta,mean_utterance_cer_delta,total_error_delta
artpark_medium_vaani_hindi,bandlimit_8k,132,18,87,27,0.005004,0.0,0.002729,8
artpark_medium_vaani_hindi,bandlimit_8k_g711_alaw,132,22,86,24,-0.000400,0.0,0.000748,-1
artpark_medium_vaani_hindi,bandlimit_8k_g711_mulaw,132,17,85,30,0.004704,0.0,0.003399,11
artpark_medium_vaani_hindi,bandlimit_8k_gsm_fr,132,19,70,43,0.024356,0.0,0.013857,38
adalat_whisper_small_hi_high_lr,bandlimit_8k,132,15,79,38,0.024053,0.0,0.014536,72
adalat_whisper_small_hi_high_lr,bandlimit_8k_g711_alaw,132,14,83,35,0.032228,0.0,0.018092,74
adalat_whisper_small_hi_high_lr,bandlimit_8k_g711_mulaw,132,11,87,34,0.028020,0.0,0.012544,70
adalat_whisper_small_hi_high_lr,bandlimit_8k_gsm_fr,132,13,55,64,0.053144,0.0,0.030431,124
